SDSS_ID Date a d z Age1 Age2 s rBSSN rBSH X2gal X2SN Type
1298-52964-304 21/11/03 129.7903 7.4088 0.046 32 48 0.96 18.92 17.47 2.0 1.0 Ia
1310-53033-459 29/01/04 173.5529 58.2622 0.122 16 14 1.06 19.56 17.67 1.9 0.9 Ia
1324-53088-169 24/03/04 211.9955 54.3631 0.067 52 52 1.06 19.87 17.60 1.5 1.0 Ia
1337-52767-480 08/05/03 245.0462 38.1115 0.130 2 4 0.84 19.80 18.12 1.5 1.0 Ia
1392-52822-147 02/07/03 240.3856 26.9875 0.050 14 14 0.93 17.84 16.90 6.4 1.1 Ia
1400-53470-234 10/04/05 230.1879 36.8118 0.103 6 3 1.03 18.89 16.58 1.8 0.9 Ia
1400-53470-351 10/04/05 229.2268 37.1240 0.116 −9 −14 1.16 19.66 17.21 1.1 0.9 Ia
1403-53227-456 10/08/04 237.2391 33.9571 0.128 27 33 0.84 20.26 18.39 1.2 1.0 Ia
1445-53062-067 27/02/04 177.1144 42.1320 0.086 3 −3 0.89 19.65 17.41 1.3 0.9 Ia
1462-53112-638 17/04/04 202.1417 41.8523 0.028 8 7 0.99 16.52 16.53 13.3 1.1 Ia
1581-53149-470 24/05/04 235.1032 32.8659 0.054 30 40 0.90 18.97 17.69 3.3 1.0 Ia
1598-53033-380 29/01/04 155.7088 11.7030 0.102 2 −1 0.92 19.67 17.99 1.6 1.0 Ia
1645-53172-349 16/06/04 217.2314 35.0823 0.121 21 34 1.14 19.97 16.95 1.3 1.0 Ia
1697-53142-506 17/05/04 199.1256 12.6769 0.151 3 4 1.06 19.92 17.66 1.3 0.9 Ia
1700-53502-302 12/05/05 203.6364 11.1324 0.095 3 1 1.21 19.59 16.96 1.3 1.1 Ia
1710-53504-488 14/05/05 219.0440 12.4451 0.085 27 24 0.90 19.70 18.03 1.2 1.0 Ia
1744-53055-210 20/02/04 149.9506 11.4737 0.060 9 9 0.94 18.37 19.20 6.6 1.1 Ia
1755-53386-309 16/01/05 173.1052 14.6202 0.082 21 21 1.10 19.32 17.13 1.7 0.9 Ia
1758-53084-523 20/03/04 127.3894 8.8682 0.112 2 −3 0.85 19.62 17.75 1.6 1.0 Ia
1782-53383-517 13/01/05 126.1666 54.6689 0.063 55 43 1.02 20.02 17.33 1.5 1.0 Ia
1788-54468-126 03/01/08 145.0818 63.2817 0.120 2 −1 1.00 20.46 18.02 1.2 1.0 Ia
1791-54266-583 15/06/07 194.1119 10.2277 0.107 12 10 1.01 19.31 17.65 2.0 1.2 Ia
1793-53883-040 28/05/06 196.4333 9.5797 0.055 52 50 1.01 19.68 17.03 1.4 0.9 Ia
1801-54156-371 25/02/07 202.8033 7.9573 0.123 12 34 1.00 19.81 17.79 1.4 1.1 Ia
1803-54152-260 21/02/07 205.4068 5.8710 0.060 33 40 0.83 19.80 17.11 1.3 1.0 Ia
1843-53816-491 22/03/06 223.2384 31.0742 0.094 55 50 1.08 20.01 17.73 1.5 1.0 Ia
1944-53385-434 15/01/05 144.4477 28.2876 0.153 −1 −5 0.86 20.10 18.49 1.6 1.0 Ia
1949-53433-080 04/03/05 150.8604 32.1330 0.166 3 −5 1.06 20.23 18.08 1.1 0.9 Ia
1957-53415-232 14/02/05 155.6271 35.6764 0.128 21 17 0.95 20.23 18.00 1.2 0.9 Ia
2019-53430-010 01/03/05 161.1689 30.6343 0.072 2 3 1.04 18.87 18.68 4.8 1.6 Ia
2159-54328-161 16/08/07 230.6900 19.7057 0.109 12 12 0.89 19.70 17.65 1.2 0.9 Ia
2165-53917-406 01/07/06 234.5504 25.0456 0.067 27 35 1.07 19.22 17.69 1.3 0.9 Ia
2173-53874-154 19/05/06 240.4273 20.5769 0.123 2 −1 0.87 20.30 17.80 1.4 1.1 Ia
2199-53556-232 05/07/05 240.3188 17.7678 0.045 13 15 0.94 17.84 16.65 10.9 1.5 Ia
2202-53566-403 15/07/05 246.0988 15.6767 0.084 4 4 0.99 18.54 18.45 8.1 1.2 Ia
2218-53816-295 22/03/06 171.5008 26.0536 0.158 6 9 1.01 20.24 17.96 1.4 1.2 Ia
2222-53799-480 05/03/06 176.1602 29.8899 0.076 12 15 0.90 19.29 18.23 3.3 1.1 Ia
2376-53770-183 04/02/06 158.4883 20.3405 0.087 2 −3 1.02 18.88 16.90 2.0 1.0 Ia
2420-54086-142 17/12/06 123.7092 11.7155 0.088 −3 −1 0.94 20.77 18.05 1.5 1.2 Ia
2429-53799-033 05/03/06 132.1170 14.4232 0.069 38 36 1.03 19.75 17.71 1.5 1.0 Ia
2430-53815-267 21/03/06 132.4331 12.2987 0.050 33 36 1.03 19.47 18.77 2.4 1.1 Ia
2499-54176-550 17/03/07 172.2386 17.2243 0.143 −3 −9 0.90 20.11 18.10 1.3 0.9 Ia
2594-54177-348 18/03/07 158.4080 16.6030 0.052 21 23 1.13 20.69 17.48 1.5 1.1 Ia
2603-54479-486 14/01/08 196.4791 17.8272 0.078 28 26 1.06 20.91 18.56 1.2 0.9 Ia
2609-54476-295 11/01/08 181.4544 18.9829 0.168 3 −5 1.12 19.96 18.08 1.6 1.1 Ia
2614-54481-257 16/01/08 190.8844 18.9626 0.168 8 4 1.00 20.42 18.37 1.2 1.0 Ia
2664-54524-468 28/02/08 200.7558 24.5066 0.073 6 6 0.93 19.11 17.63 2.4 1.2 Ia
2744-54272-561 21/06/07 211.5930 16.4834 0.014 40 45 0.99 17.40 15.23 4.5 0.8 Ia
2747-54233-613 13/05/07 218.8254 15.5351 0.107 12 10 0.87 19.90 17.88 1.6 1.1 Ia
2754-54240-593 20/05/07 234.2158 12.1352 0.094 27 26 0.90 19.90 18.09 1.9 1.1 Ia
2758-54523-082 27/02/08 213.1021 17.0065 0.174 6 6 0.93 20.25 18.28 1.4 1.1 Ia
2768-54265-233 14/06/07 233.2249 13.1177 0.073 27 24 1.10 19.54 17.29 1.3 1.0 Ia
2771-54527-005 02/03/08 212.4780 19.6616 0.077 16 17 1.09 20.21 16.91 1.2 1.0 Ia
2792-54556-210 31/03/08 226.3821 17.9847 0.036 13 15 0.93 17.35 16.58 15.7 1.1 Ia
2886-54498-598 02/02/08 164.2943 9.4009 0.088 6 10 0.96 19.86 18.25 2.0 1.3 Ia
2949-54557-440 01/04/08 249.2445 27.1098 0.140 21 22 0.89 20.45 18.52 1.2 1.0 Ia
2954-54561-572 05/04/08 233.5161 2.2105 0.034 −1 5 0.83 18.82 16.76 1.3 0.8 Ia
0437-51869-328 21/11/00 119.5556 44.0190 0.047 19 0 ··· 20.00 17.48 1.5 1.1 II
0864-52320-082 15/02/02 129.9163 35.6542 0.160 4 5 ··· 20.00 18.31 1.2 1.0 II
1207-52672-512 02/02/03 126.2081 29.6123 0.040 87 36 ··· 20.23 18.06 1.4 1.1 II
1231-52725-553 27/03/03 186.9265 9.9579 0.070 34 49 ··· 20.15 18.41 1.2 1.0 II
1406-52876-528 25/08/03 243.2197 30.8496 0.048 34 49 ··· 20.25 18.18 1.3 1.0 II
1459-53117-022 22/04/04 198.2796 46.0984 0.030 35 50 ··· 19.88 19.33 2.4 1.7 II
1684-53239-484 22/08/04 245.6866 32.6592 0.041 62 36 ··· 19.85 17.01 1.9 1.4 II
1755-53386-516 16/01/05 174.8064 15.0377 0.014 63 82 ··· 19.51 18.71 3.2 1.2 II
2103-53467-081 07/04/05 180.8496 35.3258 0.028 19 34 ··· 19.22 17.48 1.8 0.9 II
2593-54175-334 16/03/07 157.8944 19.0687 0.034 35 113 ··· 19.98 19.68 2.0 1.4 II
0472-51955-247 0 0 0 0 0 0 0 0 0 0 0
